kind,site,title,url,note
cad,alldrawings,Сборочный чертеж калибра-пробки d65H7,https://alldrawings.ru/en/drawings-and-3d-models/item/sborochnyj-chertezh-kalibra-probki-d65h7,Has dxf/dwg/jpg in downloadable archive; candidate for gt/.
cad,alldrawings,Сборочный чертеж ручки из фенопласта по ГОСТ,https://alldrawings.ru/spisok-kategorij/item/dn20-sborocnyj-certez-rucki-iz-fenoplasta-po-gost,Has CAD archive in Russian GOST style; candidate for gt/.
cad,alldrawings,Приспособление программное сборочный чертеж,https://alldrawings.ru/spisok-kategorij/item/dn20-prisposoblenie-programmnoe-sborocnyj-certez,Assembly drawing package candidate.
pdf,studizba,ДМ 1065 — привод ленточного транспортёра,https://studizba.com/files/detali-mashin-dm/coursework/267514-dm-1065-proektirovan-privod-lentochnogo.html,"Package of A1 PDF drawings: general view, assembly, part drawings."
